CCA_ID,CCA_NAME,COHORT,WEIGHTED_SCORE,SCORE_ln_POP,SCORE_ln_TAX_BASE_PER_CAP,SCORE_ln_MED_HH_INC,SCORE_PCT_EDA_POP
14,Albany Park,3,38.88888888888889,10,3,3,2
57,Archer Heights,4,33.33333333333333,10,3,2,1
34,Armour Square,4,33.33333333333333,10,4,1,1
70,Ashburn,2,47.22222222222222,10,3,4,4
71,Auburn Gresham,4,27.77777777777778,10,2,1,1
25,Austin,4,27.77777777777778,10,2,1,1
45,Avalon Park,2,47.22222222222222,10,3,1,7
21,Avondale,3,44.44444444444444,10,4,3,3
19,Belmont Cragin,4,33.33333333333333,10,3,2,1
72,Beverly,1,77.77777777777779,10,5,7,10
60,Bridgeport,3,41.66666666666667,10,4,2,3
58,Brighton Park,4,27.77777777777778,10,2,1,1
47,Burnside,4,30.555555555555557,10,3,1,1
48,Calumet Heights,2,47.22222222222222,10,3,1,7
44,Chatham,3,38.88888888888889,10,3,1,4
66,Chicago Lawn,4,27.77777777777778,10,2,1,1
64,Clearing,2,55.55555555555556,10,3,3,8
35,Douglas,3,38.88888888888889,10,3,1,4
17,Dunning,2,55.55555555555556,10,4,4,6
27,East Garfield Park,4,27.77777777777778,10,2,1,1
52,East Side,4,27.77777777777778,10,2,1,1
77,Edgewater,2,61.111111111111114,10,5,2,9
9,Edison Park,1,83.33333333333334,10,6,8,10
68,Englewood,4,27.77777777777778,10,2,1,1
12,Forest Glen,1,88.88888888888889,10,7,9,10
37,Fuller Park,4,30.555555555555557,10,3,1,1
63,Gage Park,4,27.77777777777778,10,2,1,1
56,Garfield Ridge,2,58.333333333333336,10,4,5,6
38,Grand Boulevard,4,33.33333333333333,10,3,1,2
69,Greater Grand Crossing,4,27.77777777777778,10,2,1,1
55,Hegewisch,4,33.33333333333333,10,3,2,1
20,Hermosa,4,27.77777777777778,10,2,1,1
23,Humboldt Park,4,27.77777777777778,10,2,1,1
41,Hyde Park,2,55.55555555555556,10,4,2,8
16,Irving Park,2,50,10,5,3,4
11,Jefferson Park,2,63.888888888888886,10,5,5,7
39,Kenwood,3,38.88888888888889,10,4,1,3
6,Lake View,1,83.33333333333334,10,7,7,10
7,Lincoln Park,1,94.44444444444444,10,9,9,10
4,Lincoln Square,1,69.44444444444444,10,6,5,8
22,Logan Square,2,61.111111111111114,10,6,6,4
31,Lower West Side,4,36.11111111111111,10,4,2,1
59,McKinley Park,4,30.555555555555557,10,3,1,1
18,Montclare,4,33.33333333333333,10,3,2,1
75,Morgan Park,2,55.55555555555556,10,4,3,7
74,Mount Greenwood,2,58.333333333333336,10,5,8,2
8,Near North Side,1,94.44444444444444,10,10,8,10
33,Near South Side,1,88.88888888888889,10,8,8,10
28,Near West Side,1,75,10,8,7,6
61,New City,4,27.77777777777778,10,2,1,1
5,North Center,1,91.66666666666666,10,8,9,10
29,North Lawndale,4,27.77777777777778,10,2,1,1
13,North Park,2,47.22222222222222,10,5,2,4
10,Norwood Park,1,69.44444444444444,10,6,6,7
76,O'Hare,2,58.333333333333336,10,7,2,6
36,Oakland,4,30.555555555555557,10,3,1,1
15,Portage Park,2,55.55555555555556,10,4,4,6
50,Pullman,3,44.44444444444444,10,4,1,5
54,Riverdale,4,25,10,1,1,1
1,Rogers Park,3,38.88888888888889,10,3,1,4
49,Roseland,4,27.77777777777778,10,2,1,1
46,South Chicago,4,27.77777777777778,10,2,1,1
51,South Deering,4,36.11111111111111,10,3,1,3
30,South Lawndale,4,27.77777777777778,10,2,1,1
43,South Shore,4,27.77777777777778,10,2,1,1
32,The Loop,1,94.44444444444444,10,10,8,10
3,Uptown,2,58.333333333333336,10,5,2,8
73,Washington Heights,4,33.33333333333333,10,3,2,1
40,Washington Park,4,27.77777777777778,10,2,1,1
62,West Elsdon,4,36.11111111111111,10,3,3,1
67,West Englewood,4,27.77777777777778,10,2,1,1
26,West Garfield Park,4,27.77777777777778,10,2,1,1
65,West Lawn,4,33.33333333333333,10,3,2,1
53,West Pullman,4,27.77777777777778,10,2,1,1
2,West Ridge,3,38.88888888888889,10,3,2,3
24,West Town,1,80.55555555555556,10,7,8,8
42,Woodlawn,4,27.77777777777778,10,2,1,1
